Series Name,"Country Name","Time","Value"
"Labor force participation rate for ages 15-24, female (%) (national estimate)","United Kingdom","1990","66.69"
"Labor force participation rate for ages 15-24, female (%) (national estimate)","United Kingdom","1991","65.42"
"Labor force participation rate for ages 15-24, female (%) (national estimate)","United Kingdom","1992","62.95"
"Labor force participation rate for ages 15-24, female (%) (national estimate)","United Kingdom","1993","61.41"
"Labor force participation rate for ages 15-24, female (%) (national estimate)","United Kingdom","1994","60.03"
"Labor force participation rate for ages 15-24, female (%) (national estimate)","United Kingdom","1995","59.22"
"Labor force participation rate for ages 15-24, female (%) (national estimate)","United Kingdom","1996","60.22"
"Labor force participation rate for ages 15-24, female (%) (national estimate)","United Kingdom","1997","60.14"
"Labor force participation rate for ages 15-24, female (%) (national estimate)","United Kingdom","1998","59.74"
"Labor force participation rate for ages 15-24, female (%) (national estimate)","United Kingdom","1999","59.16"
"Labor force participation rate for ages 15-24, female (%) (national estimate)","United Kingdom","2000","59.79"
"Labor force participation rate for ages 15-24, female (%) (national estimate)","United Kingdom","2001","58.13"
"Labor force participation rate for ages 15-24, female (%) (national estimate)","United Kingdom","2002","59.19"
"Labor force participation rate for ages 15-24, female (%) (national estimate)","United Kingdom","2003","58.26"
"Labor force participation rate for ages 15-24, female (%) (national estimate)","United Kingdom","2004","59.11"
"Labor force participation rate for ages 15-24, female (%) (national estimate)","United Kingdom","2005","59.22"
"Labor force participation rate for ages 15-24, female (%) (national estimate)","United Kingdom","2006","59.71"
"Labor force participation rate for ages 15-24, female (%) (national estimate)","United Kingdom","2007","58.61"
"Labor force participation rate for ages 15-24, female (%) (national estimate)","United Kingdom","2008","58.17"
"Labor force participation rate for ages 15-24, female (%) (national estimate)","United Kingdom","2009","57.12"
"Labor force participation rate for ages 15-24, female (%) (national estimate)","United Kingdom","2010","55.93"
"Labor force participation rate for ages 15-24, female (%) (national estimate)","United Kingdom","2011","55.66"
"Labor force participation rate for ages 15-24, female (%) (national estimate)","United Kingdom","2012","56.3"
"Labor force participation rate for ages 15-24, female (%) (national estimate)","United Kingdom","2013","56.38"
"Labor force participation rate for ages 15-24, female (%) (national estimate)","United Kingdom","2014","56.08"
"Labor force participation rate for ages 15-24, female (%) (national estimate)","United Kingdom","2015","57.03"
"Labor force participation rate for ages 15-24, female (%) (national estimate)","United Kingdom","2016","57.45"
"Labor force participation rate for ages 15-24, female (%) (national estimate)","United Kingdom","2017","56.78"
"Labor force participation rate for ages 15-24, female (%) (national estimate)","United Kingdom","2018","55.6"
"Labor force participation rate for ages 15-24, female (%) (national estimate)","United Kingdom","2019","55.67"
"Labor force participation rate for ages 15-24, female (%) (national estimate)","United Kingdom","2020",".."
,"","",""
,"","",""
,"","",""
Data from database: Gender Statistics,"","",""
Last Updated: 12/18/2021,"","",""
