Country Name,"Series Name","Time","Value"
Afghanistan,"GDP per capita (constant 2015 US$)","2019","577.563057619788"
Austria,"GDP per capita (constant 2015 US$)","2019","46717.7207288551"
"Bahamas, The","GDP per capita (constant 2015 US$)","2019","32798.1773271235"
Bahrain,"GDP per capita (constant 2015 US$)","2019","21199.0423231693"
Australia,"GDP per capita (constant 2015 US$)","2019","58923.2082117629"
Belarus,"GDP per capita (constant 2015 US$)","2019","6266.13085351488"
Brazil,"GDP per capita (constant 2015 US$)","2019","8638.29428665528"
Botswana,"GDP per capita (constant 2015 US$)","2019","7232.08756888586"
Cameroon,"GDP per capita (constant 2015 US$)","2019","1397.96491992995"
Cayman Islands,"GDP per capita (constant 2015 US$)","2019","83536.2933517156"
Chile,"GDP per capita (constant 2015 US$)","2019","13866.9558433589"
China,"GDP per capita (constant 2015 US$)","2019","10228.292811471"
Cyprus,"GDP per capita (constant 2015 US$)","2019","32517.2372758989"
Denmark,"GDP per capita (constant 2015 US$)","2019","57553.1312399488"
Cuba,"GDP per capita (constant 2015 US$)","2019","8026.80343590079"
Finland,"GDP per capita (constant 2015 US$)","2019","46172.567498465"
Fiji,"GDP per capita (constant 2015 US$)","2019","5869.01410878808"
Dominican Republic,"GDP per capita (constant 2015 US$)","2019","8314.34481886082"
Ecuador,"GDP per capita (constant 2015 US$)","2019","5853.81305991847"
Germany,"GDP per capita (constant 2015 US$)","2019","43311.6289811807"
Greenland,"GDP per capita (constant 2015 US$)","2019",".."
Gibraltar,"GDP per capita (constant 2015 US$)","2019",".."
Ghana,"GDP per capita (constant 2015 US$)","2019","1974.29466586464"
Gabon,"GDP per capita (constant 2015 US$)","2019","7118.08945622525"
Guatemala,"GDP per capita (constant 2015 US$)","2019","4254.03515942326"
Haiti,"GDP per capita (constant 2015 US$)","2019","1371.94238789242"
Hungary,"GDP per capita (constant 2015 US$)","2019","15042.3362152734"
Honduras,"GDP per capita (constant 2015 US$)","2019","2499.49282332241"
Guinea,"GDP per capita (constant 2015 US$)","2019","945.769348737232"
Iceland,"GDP per capita (constant 2015 US$)","2019","57818.8594639095"
India,"GDP per capita (constant 2015 US$)","2019","1972.75782082313"
Indonesia,"GDP per capita (constant 2015 US$)","2019","3877.38297656325"
Iraq,"GDP per capita (constant 2015 US$)","2019","4893.52473650407"
"Iran, Islamic Rep.","GDP per capita (constant 2015 US$)","2019","4785.0278763552"
Ireland,"GDP per capita (constant 2015 US$)","2019","75112.8050295591"
Israel,"GDP per capita (constant 2015 US$)","2019","38152.7353182905"
Jamaica,"GDP per capita (constant 2015 US$)","2019","5065.37488938016"
Italy,"GDP per capita (constant 2015 US$)","2019","32043.907373456"
Japan,"GDP per capita (constant 2015 US$)","2019","36362.3573229906"
Kenya,"GDP per capita (constant 2015 US$)","2019","1513.43726562494"
"Korea, Rep.","GDP per capita (constant 2015 US$)","2019","31610.9190042071"
Libya,"GDP per capita (constant 2015 US$)","2019","5971.84964599938"
Lebanon,"GDP per capita (constant 2015 US$)","2019","6824.89092144069"
Liechtenstein,"GDP per capita (constant 2015 US$)","2019",".."
Luxembourg,"GDP per capita (constant 2015 US$)","2019","104583.715895899"
Madagascar,"GDP per capita (constant 2015 US$)","2019","488.913856720504"
Malaysia,"GDP per capita (constant 2015 US$)","2019","11391.6917171556"
Mali,"GDP per capita (constant 2015 US$)","2019","815.454597312595"
Malawi,"GDP per capita (constant 2015 US$)","2019","402.543108697447"
Malta,"GDP per capita (constant 2015 US$)","2019","27489.4211986268"
Mexico,"GDP per capita (constant 2015 US$)","2019","9832.45747500622"
Monaco,"GDP per capita (constant 2015 US$)","2019","183244.610694364"
Mongolia,"GDP per capita (constant 2015 US$)","2019","4378.52787164517"
Morocco,"GDP per capita (constant 2015 US$)","2019","3407.78847905092"
Myanmar,"GDP per capita (constant 2015 US$)","2019","1362.72543858048"
Nepal,"GDP per capita (constant 2015 US$)","2019","1069.78909780076"
Namibia,"GDP per capita (constant 2015 US$)","2019","4521.14690531015"
New Zealand,"GDP per capita (constant 2015 US$)","2019","40315.47098301"
Nigeria,"GDP per capita (constant 2015 US$)","2019","2502.652281009"
Niger,"GDP per capita (constant 2015 US$)","2019","523.65877765968"
North Macedonia,"GDP per capita (constant 2015 US$)","2019","5334.23666266004"
Norway,"GDP per capita (constant 2015 US$)","2019","76085.2455169547"
Pakistan,"GDP per capita (constant 2015 US$)","2019","1487.35722186437"
Poland,"GDP per capita (constant 2015 US$)","2019","14987.4233971431"
Paraguay,"GDP per capita (constant 2015 US$)","2019","5774.16616003464"
Philippines,"GDP per capita (constant 2015 US$)","2019","3664.79066969794"
Peru,"GDP per capita (constant 2015 US$)","2019","6611.49276445785"
Romania,"GDP per capita (constant 2015 US$)","2019","11215.1588557962"
Rwanda,"GDP per capita (constant 2015 US$)","2019","885.599611645732"
Portugal,"GDP per capita (constant 2015 US$)","2019","21567.9359740802"
Qatar,"GDP per capita (constant 2015 US$)","2019","59149.339093965"
Saudi Arabia,"GDP per capita (constant 2015 US$)","2019","19801.8742165029"
Singapore,"GDP per capita (constant 2015 US$)","2019","61173.9047689256"
Slovak Republic,"GDP per capita (constant 2015 US$)","2019","18128.3358672655"
Slovenia,"GDP per capita (constant 2015 US$)","2019","24061.6038792705"
Spain,"GDP per capita (constant 2015 US$)","2019","28091.0123345952"
Sudan,"GDP per capita (constant 2015 US$)","2019","2018.40804058714"
Sweden,"GDP per capita (constant 2015 US$)","2019","53490.3518198746"
Switzerland,"GDP per capita (constant 2015 US$)","2019","88413.1917082485"
Thailand,"GDP per capita (constant 2015 US$)","2019","6617.54282167643"
Togo,"GDP per capita (constant 2015 US$)","2019","630.790509578349"
Tonga,"GDP per capita (constant 2015 US$)","2019","4652.5885871245"
Trinidad and Tobago,"GDP per capita (constant 2015 US$)","2019","16192.3234976859"
Turkey,"GDP per capita (constant 2015 US$)","2019","11956.1978210009"
Uganda,"GDP per capita (constant 2015 US$)","2019","898.407514758333"
Ukraine,"GDP per capita (constant 2015 US$)","2019","3224.55994946203"
United Kingdom,"GDP per capita (constant 2015 US$)","2019","46611.844332875"
United Arab Emirates,"GDP per capita (constant 2015 US$)","2019","39789.9668532093"
United States,"GDP per capita (constant 2015 US$)","2019","60836.7714535018"
Uruguay,"GDP per capita (constant 2015 US$)","2019","16036.2964025995"
Uzbekistan,"GDP per capita (constant 2015 US$)","2019","3013.55216272114"
"Venezuela, RB","GDP per capita (constant 2015 US$)","2019",".."
"Yemen, Rep.","GDP per capita (constant 2015 US$)","2019",".."
Zambia,"GDP per capita (constant 2015 US$)","2019","1348.74321969318"
Zimbabwe,"GDP per capita (constant 2015 US$)","2019","1367.67691490163"
Vietnam,"GDP per capita (constant 2015 US$)","2019","2604.22416586283"
,"","",""
,"","",""
,"","",""
Data from database: World Development Indicators,"","",""
Last Updated: 12/16/2021,"","",""
