Series Name,"Country Name","Time","Value"
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)","United Kingdom","1990","76.73"
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)","United Kingdom","1991","74.51"
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)","United Kingdom","1992","72.34"
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)","United Kingdom","1993","69.94"
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)","United Kingdom","1994","68.66"
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)","United Kingdom","1995","67.79"
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)","United Kingdom","1996","68.44"
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)","United Kingdom","1997","68.64"
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)","United Kingdom","1998","68.04"
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)","United Kingdom","1999","67.07"
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)","United Kingdom","2000","67.04"
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)","United Kingdom","2001","65.39"
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)","United Kingdom","2002","65.37"
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)","United Kingdom","2003","63.91"
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)","United Kingdom","2004","63.93"
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)","United Kingdom","2005","64.97"
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)","United Kingdom","2006","64.78"
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)","United Kingdom","2007","64.14"
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)","United Kingdom","2008","64.32"
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)","United Kingdom","2009","61.5"
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)","United Kingdom","2010","61.05"
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)","United Kingdom","2011","60.57"
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)","United Kingdom","2012","60.72"
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)","United Kingdom","2013","59.87"
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)","United Kingdom","2014","59.11"
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)","United Kingdom","2015","59.7"
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)","United Kingdom","2016","58.87"
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)","United Kingdom","2017","57.92"
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)","United Kingdom","2018","58.15"
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)","United Kingdom","2019","57.3"
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)","United Kingdom","2020",".."
,"","",""
,"","",""
,"","",""
Data from database: Gender Statistics,"","",""
Last Updated: 12/18/2021,"","",""
