,Date,Female LFPR
0,1990.0,66.69
1,1991.0,65.42
2,1992.0,62.95
3,1993.0,61.41
4,1994.0,60.03
5,1995.0,59.22
6,1996.0,60.22
7,1997.0,60.14
8,1998.0,59.74
9,1999.0,59.16
10,2000.0,59.79
11,2001.0,58.13
12,2002.0,59.19
13,2003.0,58.26
14,2004.0,59.11
15,2005.0,59.22
16,2006.0,59.71
17,2007.0,58.61
18,2008.0,58.17
19,2009.0,57.12
20,2010.0,55.93
21,2011.0,55.66
22,2012.0,56.3
23,2013.0,56.38
24,2014.0,56.08
25,2015.0,57.03
26,2016.0,57.45
27,2017.0,56.78
28,2018.0,55.6
29,2019.0,55.67
30,2020.0,..
31,,
32,,
33,,
34,,
35,,
