Country Name,"Series Name","Time","Value"
Afghanistan,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","20.59"
Austria,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","52.04"
"Bahamas, The","Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","44.97"
Bahrain,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","27.25"
Australia,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","67.58"
Belarus,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","43.09"
Brazil,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","50.53"
Botswana,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","40.7"
Cameroon,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","51.31"
Cayman Islands,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019",".."
Chile,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","29.34"
China,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","42.4"
Cyprus,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","40.16"
Denmark,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","61.64"
Cuba,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","28.07"
Finland,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","53.93"
Fiji,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","25.57"
Dominican Republic,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","35"
Ecuador,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","35.2"
Germany,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","48.57"
Greenland,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019",".."
Gibraltar,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019",".."
Ghana,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","38.54"
Gabon,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","15.52"
Guatemala,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","31.26"
Haiti,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","31.29"
Hungary,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","26.79"
Honduras,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","40.59"
Guinea,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","47.8"
Iceland,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","79.99"
India,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","9.82"
Indonesia,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","39.69"
Iraq,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","4.87"
"Iran, Islamic Rep.","Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","12.21"
Ireland,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","45.91"
Israel,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","47.51"
Jamaica,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","31.44"
Italy,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","22.07"
Japan,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","49.85"
Kenya,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","41.25"
"Korea, Rep.","Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","30.09"
Libya,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","10.12"
Lebanon,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","17.44"
Liechtenstein,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019",".."
Luxembourg,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","31.23"
Madagascar,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","72.23"
Malaysia,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","35.06"
Mali,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","52.75"
Malawi,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","59.67"
Malta,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","53.64"
Mexico,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","32.81"
Monaco,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019",".."
Mongolia,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","28.81"
Morocco,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","13.17"
Myanmar,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","39.75"
Nepal,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","78.41"
Namibia,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","26.44"
New Zealand,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","63.46"
Nigeria,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","30.94"
Niger,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","50.46"
North Macedonia,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","25.56"
Norway,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","55.84"
Pakistan,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","18.17"
Poland,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","31.58"
Paraguay,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","47.18"
Philippines,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","28.63"
Peru,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","58.49"
Romania,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","23.58"
Rwanda,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","63.65"
Portugal,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","32.93"
Qatar,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","35.44"
Saudi Arabia,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","8.25"
Singapore,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","40.94"
Slovak Republic,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","22.28"
Slovenia,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","33.2"
Spain,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","31.16"
Sudan,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","18.44"
Sweden,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","56.42"
Switzerland,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","66.02"
Thailand,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","33.22"
Togo,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","27.65"
Tonga,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","21.54"
Trinidad and Tobago,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","31.58"
Turkey,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","32.63"
Uganda,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","49.34"
Ukraine,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","27.91"
United Kingdom,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","55.38"
United Arab Emirates,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","33.89"
United States,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","51.67"
Uruguay,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","42.89"
Uzbekistan,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","32.26"
"Venezuela, RB","Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","21.78"
"Yemen, Rep.","Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","4.55"
Zambia,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","52.82"
Zimbabwe,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","68.27"
Vietnam,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","52.1"
,"","",""
,"","",""
,"","",""
Data from database: World Development Indicators,"","",""
Last Updated: 12/16/2021,"","",""
