ref_area,indicator,source,sex,classif1,time,obs_value,obs_status
GBR,EAP_2WAP_SEX_AGE_RT,XA:2056,SEX_T,AGE_AGGREGATE_TOTAL,1990,62.62,A
GBR,EAP_2WAP_SEX_AGE_RT,XA:2056,SEX_M,AGE_AGGREGATE_TOTAL,1990,74.1,A
GBR,EAP_2WAP_SEX_AGE_RT,XA:2056,SEX_F,AGE_AGGREGATE_TOTAL,1990,52.02,A
GBR,EAP_2WAP_SEX_AGE_RT,XA:2056,SEX_T,AGE_AGGREGATE_TOTAL,1991,62.19,A
GBR,EAP_2WAP_SEX_AGE_RT,XA:2056,SEX_M,AGE_AGGREGATE_TOTAL,1991,73.41,A
GBR,EAP_2WAP_SEX_AGE_RT,XA:2056,SEX_F,AGE_AGGREGATE_TOTAL,1991,51.82,A
GBR,EAP_2WAP_SEX_AGE_RT,XA:2056,SEX_T,AGE_AGGREGATE_TOTAL,1992,61.74,A
GBR,EAP_2WAP_SEX_AGE_RT,XA:2056,SEX_M,AGE_AGGREGATE_TOTAL,1992,72.47,A
GBR,EAP_2WAP_SEX_AGE_RT,XA:2056,SEX_F,AGE_AGGREGATE_TOTAL,1992,51.83,A
GBR,EAP_2WAP_SEX_AGE_RT,XA:2056,SEX_T,AGE_AGGREGATE_TOTAL,1993,61.19,A
GBR,EAP_2WAP_SEX_AGE_RT,XA:2056,SEX_M,AGE_AGGREGATE_TOTAL,1993,71.29,A
GBR,EAP_2WAP_SEX_AGE_RT,XA:2056,SEX_F,AGE_AGGREGATE_TOTAL,1993,51.87,A
GBR,EAP_2WAP_SEX_AGE_RT,XA:2056,SEX_T,AGE_AGGREGATE_TOTAL,1994,61,A
GBR,EAP_2WAP_SEX_AGE_RT,XA:2056,SEX_M,AGE_AGGREGATE_TOTAL,1994,70.9,A
GBR,EAP_2WAP_SEX_AGE_RT,XA:2056,SEX_F,AGE_AGGREGATE_TOTAL,1994,51.86,A
GBR,EAP_2WAP_SEX_AGE_RT,XA:2056,SEX_T,AGE_AGGREGATE_TOTAL,1995,60.82,A
