,sex,time,obs_value
0,SEX_T,1990,62.62
1,SEX_M,1990,74.1
2,SEX_F,1990,52.02
3,SEX_T,1991,62.19
4,SEX_M,1991,73.41
5,SEX_F,1991,51.82
6,SEX_T,1992,61.74
7,SEX_M,1992,72.47
8,SEX_F,1992,51.83
9,SEX_T,1993,61.19
10,SEX_M,1993,71.29
11,SEX_F,1993,51.87
12,SEX_T,1994,61.0
13,SEX_M,1994,70.9
14,SEX_F,1994,51.86
15,SEX_T,1995,60.82
16,SEX_M,1995,70.58
17,SEX_F,1995,51.82
18,SEX_T,1996,60.87
19,SEX_M,1996,70.24
20,SEX_F,1996,52.21
21,SEX_T,1997,61.04
22,SEX_M,1997,70.13
23,SEX_F,1997,52.65
24,SEX_T,1998,60.94
25,SEX_M,1998,69.83
26,SEX_F,1998,52.71
27,SEX_T,1999,61.25
28,SEX_M,1999,69.91
29,SEX_F,1999,53.23
30,SEX_T,2000,61.44
31,SEX_M,2000,69.92
32,SEX_F,2000,53.57
33,SEX_T,2001,60.99
34,SEX_M,2001,69.16
35,SEX_F,2001,53.39
36,SEX_T,2002,61.25
37,SEX_M,2002,69.06
38,SEX_F,2002,53.97
39,SEX_T,2003,61.37
40,SEX_M,2003,69.33
41,SEX_F,2003,53.92
42,SEX_T,2004,61.42
43,SEX_M,2004,68.98
44,SEX_F,2004,54.33
45,SEX_T,2005,61.76
46,SEX_M,2005,69.23
47,SEX_F,2005,54.73
48,SEX_T,2006,62.09
49,SEX_M,2006,69.46
50,SEX_F,2006,55.15
51,SEX_T,2007,61.94
52,SEX_M,2007,69.32
53,SEX_F,2007,54.97
54,SEX_T,2008,62.21
55,SEX_M,2008,69.52
56,SEX_F,2008,55.3
57,SEX_T,2009,62.05
58,SEX_M,2009,68.93
59,SEX_F,2009,55.53
60,SEX_T,2010,61.87
61,SEX_M,2010,68.58
62,SEX_F,2010,55.5
63,SEX_T,2011,61.79
64,SEX_M,2011,68.33
65,SEX_F,2011,55.58
66,SEX_T,2012,62.04
67,SEX_M,2012,68.54
68,SEX_F,2012,55.86
69,SEX_T,2013,62.21
70,SEX_M,2013,68.47
71,SEX_F,2013,56.24
72,SEX_T,2014,62.31
73,SEX_M,2014,68.35
74,SEX_F,2014,56.54
75,SEX_T,2015,62.37
76,SEX_M,2015,68.3
77,SEX_F,2015,56.69
78,SEX_T,2016,62.51
79,SEX_M,2016,68.32
80,SEX_F,2016,56.95
81,SEX_T,2017,62.51
82,SEX_M,2017,67.99
83,SEX_F,2017,57.26
84,SEX_T,2018,62.75
85,SEX_M,2018,68.14
86,SEX_F,2018,57.57
87,SEX_T,2019,62.97
88,SEX_M,2019,68.04
89,SEX_F,2019,58.09
90,SEX_T,2020,62.78
