,Country,2021
0,Afghanistan,0.444
1,Albania,0.77
2,Algeria,0.633
3,Angola,0.657
4,Argentina,0.752
5,Armenia,0.6729999999999999
6,Australia,0.731
7,Austria,0.777
8,Azerbaijan,0.688
9,Bahamas,0.725
10,Bahrain,0.632
11,Bangladesh,0.7190000000000001
12,Barbados,0.769
13,Belarus,0.758
14,Belgium,0.789
15,Belize,0.6990000000000001
16,Benin,0.653
17,Bhutan,0.639
18,Bolivia,0.722
19,Bosnia and Herzegovina,0.713
20,Botswana,0.716
21,Brazil,0.695
22,Brunei Darussalam,0.6779999999999999
23,Bulgaria,0.746
24,Burkina Faso,0.6509999999999999
25,Burundi,0.769
26,Cambodia,0.685
27,Cameroon,0.6920000000000001
28,Canada,0.772
29,Cape Verde,0.716
30,Chad,0.593
31,Chile,0.716
32,China,0.682
33,Colombia,0.725
34,Costa Rica,0.7859999999999999
35,Côte d'Ivoire,0.637
36,Croatia,0.733
37,Cuba,0.746
38,Cyprus,0.7070000000000001
39,Czech Republic,0.711
40,Democratic Republic of the Congo,0.5760000000000001
41,Denmark,0.768
42,Dominican Republic,0.6990000000000001
43,Ecuador,0.7390000000000001
44,Egypt,0.639
45,El Salvador,0.738
46,Estonia,0.733
47,Ethiopia,0.691
48,Fiji,0.674
49,Finland,0.861
50,France,0.784
51,"Gambia, The",0.644
52,Georgia,0.732
53,Germany,0.7959999999999999
54,Ghana,0.6659999999999999
55,Greece,0.6890000000000001
56,Guatemala,0.655
57,Guinea,0.66
58,Guyana,0.728
59,Honduras,0.716
60,Hungary,0.688
61,Iceland,0.892
62,India,0.625
63,Indonesia,0.688
64,Iran,0.5820000000000001
65,Iraq,0.535
66,Ireland,0.8
67,Israel,0.7240000000000001
68,Italy,0.721
69,Jamaica,0.741
70,Japan,0.6559999999999999
71,Jordan,0.6829999999999999
72,Kazakhstan,0.71
73,Kenya,0.6920000000000001
74,"Korea, Rep.",0.687
75,Kuwait,0.621
76,Kyrgyz Republic,0.6809999999999999
77,Laos,0.75
78,Latvia,0.778
79,Lebanon,0.638
80,Lesotho,0.698
81,Liberia,0.693
82,Lithuania,0.804
83,Luxembourg,0.726
84,North Macedonia,0.715
85,Madagascar,0.725
86,Malawi,0.6709999999999999
87,Malaysia,0.6759999999999999
88,Maldives,0.642
89,Mali,0.591
90,Malta,0.703
91,Mauritania,0.606
92,Mauritius,0.679
93,Mexico,0.757
94,Moldova,0.768
95,Mongolia,0.716
96,Montenegro,0.732
97,Morocco,0.612
98,Mozambique,0.758
99,Myanmar,0.6809999999999999
100,Namibia,0.809
101,Nepal,0.6829999999999999
102,Netherlands,0.762
103,New Zealand,0.84
104,Nicaragua,0.7959999999999999
105,Niger,0.629
106,Nigeria,0.627
107,Norway,0.8490000000000001
108,Oman,0.608
109,Pakistan,0.556
110,Panama,0.737
111,Papua New Guinea,0.635
112,Paraguay,0.7020000000000001
113,Peru,0.721
114,Philippines,0.784
115,Poland,0.713
116,Portugal,0.775
117,Qatar,0.624
118,Romania,0.7
119,Russia,0.708
120,Rwanda,0.805
121,Saudi Arabia,0.603
122,Senegal,0.684
123,Serbia,0.78
124,Sierra Leone,0.655
125,Singapore,0.727
126,Slovakia,0.7120000000000001
127,Slovenia,0.741
128,South Africa,0.7809999999999999
129,Spain,0.7879999999999999
130,Sri Lanka,0.67
131,Suriname,0.7290000000000001
132,Eswatini,0.7290000000000001
133,Sweden,0.823
134,Switzerland,0.7979999999999999
135,Syria,0.568
136,Tajikistan,0.65
137,Tanzania,0.7070000000000001
138,Thailand,0.71
139,Timor-Leste,0.72
140,Togo,0.6829999999999999
141,Trinidad and Tobago,0.7490000000000001
142,Tunisia,0.649
143,Turkey,0.638
144,Uganda,0.7170000000000001
145,Ukraine,0.7140000000000001
146,United Arab Emirates,0.716
147,United Kingdom,0.775
148,United States,0.763
149,Uruguay,0.7020000000000001
150,Vanuatu,0.625
151,Venezuela,0.6990000000000001
152,Vietnam,0.701
153,Yemen,0.4920000000000001
154,Zambia,0.726
155,Zimbabwe,0.732
