"COU","Country","IND","Indicator","SEX","Sex","AGE","Age Group","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","EMP3","Unemployment rate, by sex and age group","MEN","Men","TOTAL","Total","1990","1990","PC","Percentage","0","Units",,,6.7,,
"AUS","Australia","EMP3","Unemployment rate, by sex and age group","MEN","Men","TOTAL","Total","1995","1995","PC","Percentage","0","Units",,,8.7,,
"AUS","Australia","EMP3","Unemployment rate, by sex and age group","MEN","Men","TOTAL","Total","2000","2000","PC","Percentage","0","Units",,,6.5,,
"AUS","Australia","EMP3","Unemployment rate, by sex and age group","MEN","Men","TOTAL","Total","2005","2005","PC","Percentage","0","Units",,,4.9,,
"AUS","Australia","EMP3","Unemployment rate, by sex and age group","MEN","Men","TOTAL","Total","2010","2010","PC","Percentage","0","Units",,,5.1,,
"AUS","Australia","EMP3","Unemployment rate, by sex and age group","MEN","Men","TOTAL","Total","2015","2015","PC","Percentage","0","Units",,,6,,
"AUT","Austria","EMP3","Unemployment rate, by sex and age group","MEN","Men","TOTAL","Total","1995","1995","PC","Percentage","0","Units",,,3.1,,
"AUT","Austria","EMP3","Unemployment rate, by sex and age group","MEN","Men","TOTAL","Total","2000","2000","PC","Percentage","0","Units",,,3.3,,
"AUT","Austria","EMP3","Unemployment rate, by sex and age group","MEN","Men","TOTAL","Total","2005","2005","PC","Percentage","0","Units",,,5.4,,
"AUT","Austria","EMP3","Unemployment rate, by sex and age group","MEN","Men","TOTAL","Total","2010","2010","PC","Percentage","0","Units",,,5,,
"AUT","Austria","EMP3","Unemployment rate, by sex and age group","MEN","Men","TOTAL","Total","2015","2015","PC","Percentage","0","Units",,,6.1,,
"BEL","Belgium","EMP3","Unemployment rate, by sex and age group","MEN","Men","TOTAL","Total","1990","1990","PC","Percentage","0","Units",,,4.6,,
"BEL","Belgium","EMP3","Unemployment rate, by sex and age group","MEN","Men","TOTAL","Total","1995","1995","PC","Percentage","0","Units",,,7.4,,
"BEL","Belgium","EMP3","Unemployment rate, by sex and age group","MEN","Men","TOTAL","Total","2000","2000","PC","Percentage","0","Units",,,5.8,,
"BEL","Belgium","EMP3","Unemployment rate, by sex and age group","MEN","Men","TOTAL","Total","2005","2005","PC","Percentage","0","Units",,,7.6,,
"BEL","Belgium","EMP3","Unemployment rate, by sex and age group","MEN","Men","TOTAL","Total","2010","2010","PC","Percentage","0","Units",,,8.1,,
"BEL","Belgium","EMP3","Unemployment rate, by sex and age group","MEN","Men","TOTAL","Total","2015","2015","PC","Percentage","0","Units",,,9.1,,
"CAN","Canada","EMP3","Unemployment rate, by sex and age group","MEN","Men","TOTAL","Total","1990","1990","PC","Percentage","0","Units",,,8.2,,
"CAN","Canada","EMP3","Unemployment rate, by sex and age group","MEN","Men","TOTAL","Total","1995","1995","PC","Percentage","0","Units",,,9.8,,
"CAN","Canada","EMP3","Unemployment rate, by sex and age group","MEN","Men","TOTAL","Total","2000","2000","PC","Percentage","0","Units",,,6.9,,
"CAN","Canada","EMP3","Unemployment rate, by sex and age group","MEN","Men","TOTAL","Total","2005","2005","PC","Percentage","0","Units",,,7,,
"CAN","Canada","EMP3","Unemployment rate, by sex and age group","MEN","Men","TOTAL","Total","2010","2010","PC","Percentage","0","Units",,,8.8,,
"CAN","Canada","EMP3","Unemployment rate, by sex and age group","MEN","Men","TOTAL","Total","2015","2015","PC","Percentage","0","Units",,,7.5,,
"CZE","Czech Republic","EMP3","Unemployment rate, by sex and age group","MEN","Men","TOTAL","Total","1995","1995","PC","Percentage","0","Units",,,3.4,,
"CZE","Czech Republic","EMP3","Unemployment rate, by sex and age group","MEN","Men","TOTAL","Total","2000","2000","PC","Percentage","0","Units",,,7.3,,
"CZE","Czech Republic","EMP3","Unemployment rate, by sex and age group","MEN","Men","TOTAL","Total","2005","2005","PC","Percentage","0","Units",,,6.5,,
"CZE","Czech Republic","EMP3","Unemployment rate, by sex and age group","MEN","Men","TOTAL","Total","2010","2010","PC","Percentage","0","Units",,,6.4,,
"CZE","Czech Republic","EMP3","Unemployment rate, by sex and age group","MEN","Men","TOTAL","Total","2015","2015","PC","Percentage","0","Units",,,4.2,,
"DNK","Denmark","EMP3","Unemployment rate, by sex and age group","MEN","Men","TOTAL","Total","1990","1990","PC","Percentage","0","Units",,,8,,
"DNK","Denmark","EMP3","Unemployment rate, by sex and age group","MEN","Men","TOTAL","Total","1995","1995","PC","Percentage","0","Units",,,5.7,,
"DNK","Denmark","EMP3","Unemployment rate, by sex and age group","MEN","Men","TOTAL","Total","2000","2000","PC","Percentage","0","Units",,,3.9,,
"DNK","Denmark","EMP3","Unemployment rate, by sex and age group","MEN","Men","TOTAL","Total","2005","2005","PC","Percentage","0","Units",,,4.2,,
"DNK","Denmark","EMP3","Unemployment rate, by sex and age group","MEN","Men","TOTAL","Total","2010","2010","PC","Percentage","0","Units",,,8.4,,
"DNK","Denmark","EMP3","Unemployment rate, by sex and age group","MEN","Men","TOTAL","Total","2015","2015","PC","Percentage","0","Units",,,5.9,,
"FIN","Finland","EMP3","Unemployment rate, by sex and age group","MEN","Men","TOTAL","Total","1990","1990","PC","Percentage","0","Units",,,3.5,,
"FIN","Finland","EMP3","Unemployment rate, by sex and age group","MEN","Men","TOTAL","Total","1995","1995","PC","Percentage","0","Units",,,15.4,,
"FIN","Finland","EMP3","Unemployment rate, by sex and age group","MEN","Men","TOTAL","Total","2000","2000","PC","Percentage","0","Units",,,9,,
"FIN","Finland","EMP3","Unemployment rate, by sex and age group","MEN","Men","TOTAL","Total","2005","2005","PC","Percentage","0","Units",,,8.1,,
"FIN","Finland","EMP3","Unemployment rate, by sex and age group","MEN","Men","TOTAL","Total","2010","2010","PC","Percentage","0","Units",,,9,,
"FIN","Finland","EMP3","Unemployment rate, by sex and age group","MEN","Men","TOTAL","Total","2015","2015","PC","Percentage","0","Units",,,9.7,,
"FRA","France","EMP3","Unemployment rate, by sex and age group","MEN","Men","TOTAL","Total","1990","1990","PC","Percentage","0","Units",,,6.3,,
"FRA","France","EMP3","Unemployment rate, by sex and age group","MEN","Men","TOTAL","Total","1995","1995","PC","Percentage","0","Units",,,8.7,,
"FRA","France","EMP3","Unemployment rate, by sex and age group","MEN","Men","TOTAL","Total","2000","2000","PC","Percentage","0","Units",,,7.4,,
"FRA","France","EMP3","Unemployment rate, by sex and age group","MEN","Men","TOTAL","Total","2005","2005","PC","Percentage","0","Units",,,8.2,,
"FRA","France","EMP3","Unemployment rate, by sex and age group","MEN","Men","TOTAL","Total","2010","2010","PC","Percentage","0","Units",,,9.1,,
"FRA","France","EMP3","Unemployment rate, by sex and age group","MEN","Men","TOTAL","Total","2015","2015","PC","Percentage","0","Units",,,10.8,,
"DEU","Germany","EMP3","Unemployment rate, by sex and age group","MEN","Men","TOTAL","Total","1990","1990","PC","Percentage","0","Units",,,4.1,,
"DEU","Germany","EMP3","Unemployment rate, by sex and age group","MEN","Men","TOTAL","Total","1995","1995","PC","Percentage","0","Units",,,7.2,,
"DEU","Germany","EMP3","Unemployment rate, by sex and age group","MEN","Men","TOTAL","Total","2000","2000","PC","Percentage","0","Units",,,7.5,,
"DEU","Germany","EMP3","Unemployment rate, by sex and age group","MEN","Men","TOTAL","Total","2005","2005","PC","Percentage","0","Units",,,11.3,,
"DEU","Germany","EMP3","Unemployment rate, by sex and age group","MEN","Men","TOTAL","Total","2010","2010","PC","Percentage","0","Units",,,7.5,,
"DEU","Germany","EMP3","Unemployment rate, by sex and age group","MEN","Men","TOTAL","Total","2015","2015","PC","Percentage","0","Units",,,5,,
"GRC","Greece","EMP3","Unemployment rate, by sex and age group","MEN","Men","TOTAL","Total","1990","1990","PC","Percentage","0","Units",,,4.4,,
"GRC","Greece","EMP3","Unemployment rate, by sex and age group","MEN","Men","TOTAL","Total","1995","1995","PC","Percentage","0","Units",,,6.4,,
"GRC","Greece","EMP3","Unemployment rate, by sex and age group","MEN","Men","TOTAL","Total","2000","2000","PC","Percentage","0","Units",,,7.5,,
"GRC","Greece","EMP3","Unemployment rate, by sex and age group","MEN","Men","TOTAL","Total","2005","2005","PC","Percentage","0","Units",,,6.2,,
"GRC","Greece","EMP3","Unemployment rate, by sex and age group","MEN","Men","TOTAL","Total","2010","2010","PC","Percentage","0","Units",,,10,,
"GRC","Greece","EMP3","Unemployment rate, by sex and age group","MEN","Men","TOTAL","Total","2015","2015","PC","Percentage","0","Units",,,21.7,,
"HUN","Hungary","EMP3","Unemployment rate, by sex and age group","MEN","Men","TOTAL","Total","1995","1995","PC","Percentage","0","Units",,,11.3,,
"HUN","Hungary","EMP3","Unemployment rate, by sex and age group","MEN","Men","TOTAL","Total","2000","2000","PC","Percentage","0","Units",,,7,,
"HUN","Hungary","EMP3","Unemployment rate, by sex and age group","MEN","Men","TOTAL","Total","2005","2005","PC","Percentage","0","Units",,,7,,
"HUN","Hungary","EMP3","Unemployment rate, by sex and age group","MEN","Men","TOTAL","Total","2010","2010","PC","Percentage","0","Units",,,11.6,,
"HUN","Hungary","EMP3","Unemployment rate, by sex and age group","MEN","Men","TOTAL","Total","2015","2015","PC","Percentage","0","Units",,,6.6,,
"ISL","Iceland","EMP3","Unemployment rate, by sex and age group","MEN","Men","TOTAL","Total","1995","1995","PC","Percentage","0","Units",,,4.8,,
"ISL","Iceland","EMP3","Unemployment rate, by sex and age group","MEN","Men","TOTAL","Total","2000","2000","PC","Percentage","0","Units",,,1.8,,
"ISL","Iceland","EMP3","Unemployment rate, by sex and age group","MEN","Men","TOTAL","Total","2005","2005","PC","Percentage","0","Units",,,2.9,,
"ISL","Iceland","EMP3","Unemployment rate, by sex and age group","MEN","Men","TOTAL","Total","2010","2010","PC","Percentage","0","Units",,,9.3,,
"ISL","Iceland","EMP3","Unemployment rate, by sex and age group","MEN","Men","TOTAL","Total","2015","2015","PC","Percentage","0","Units",,,4.4,,
"IRL","Ireland","EMP3","Unemployment rate, by sex and age group","MEN","Men","TOTAL","Total","1990","1990","PC","Percentage","0","Units",,,13.1,,
"IRL","Ireland","EMP3","Unemployment rate, by sex and age group","MEN","Men","TOTAL","Total","1995","1995","PC","Percentage","0","Units",,,12.1,,
"IRL","Ireland","EMP3","Unemployment rate, by sex and age group","MEN","Men","TOTAL","Total","2000","2000","PC","Percentage","0","Units",,,4.1,,
"IRL","Ireland","EMP3","Unemployment rate, by sex and age group","MEN","Men","TOTAL","Total","2005","2005","PC","Percentage","0","Units",,,4.4,,
"IRL","Ireland","EMP3","Unemployment rate, by sex and age group","MEN","Men","TOTAL","Total","2010","2010","PC","Percentage","0","Units",,,17,,
"IRL","Ireland","EMP3","Unemployment rate, by sex and age group","MEN","Men","TOTAL","Total","2015","2015","PC","Percentage","0","Units",,,10.7,,
"ITA","Italy","EMP3","Unemployment rate, by sex and age group","MEN","Men","TOTAL","Total","1990","1990","PC","Percentage","0","Units",,,7.9,,
