,Country,Date,Women
0,Australia,1990,7.2
1,Australia,1995,8.1
2,Australia,2000,6.1
3,Australia,2005,5.2
4,Australia,2010,5.4
5,Australia,2015,6.1
6,Austria,1995,4.3
7,Austria,2000,3.8
8,Austria,2005,5.9
9,Austria,2010,4.6
10,Austria,2015,5.3
11,Belgium,1990,11.5
12,Belgium,1995,12.3
13,Belgium,2000,8.7
14,Belgium,2005,9.5
15,Belgium,2010,8.5
16,Belgium,2015,7.8
17,Canada,1990,8.1
18,Canada,1995,9.1
19,Canada,2000,6.7
20,Canada,2005,6.5
21,Canada,2010,7.3
22,Canada,2015,6.3
23,Czech Republic,1995,4.8
24,Czech Republic,2000,10.6
25,Czech Republic,2005,9.8
26,Czech Republic,2010,8.5
27,Czech Republic,2015,6.1
28,Denmark,1990,9.0
29,Denmark,1995,8.6
30,Denmark,2000,5.1
31,Denmark,2005,5.1
32,Denmark,2010,6.7
33,Denmark,2015,6.3
34,Finland,1990,2.6
35,Finland,1995,15.1
36,Finland,2000,10.6
37,Finland,2005,8.7
38,Finland,2010,7.7
39,Finland,2015,8.8
40,France,1990,10.0
41,France,1995,11.6
42,France,2000,9.9
43,France,2005,9.6
44,France,2010,9.5
45,France,2015,9.9
46,Germany,1990,5.9
47,Germany,1995,9.4
48,Germany,2000,8.1
49,Germany,2005,10.9
50,Germany,2010,6.6
51,Germany,2015,4.2
52,Greece,1990,12.0
53,Greece,1995,14.1
54,Greece,2000,17.2
55,Greece,2005,15.4
56,Greece,2010,16.3
57,Greece,2015,28.9
58,Hungary,1995,8.7
59,Hungary,2000,5.6
60,Hungary,2005,7.5
61,Hungary,2010,10.7
62,Hungary,2015,7.0
63,Iceland,1995,4.9
64,Iceland,2000,2.9
65,Iceland,2005,2.8
66,Iceland,2010,7.2
67,Iceland,2015,4.6
68,Ireland,1990,14.1
69,Ireland,1995,12.2
70,Ireland,2000,3.6
71,Ireland,2005,3.5
72,Ireland,2010,11.2
73,Ireland,2015,8.9
74,Italy,1990,17.7
75,Italy,1995,16.2
76,Italy,2000,14.5
77,Italy,2005,10.0
78,Italy,2010,9.6
79,Italy,2015,12.7
80,Japan,1990,2.2
81,Japan,1995,3.3
82,Japan,2000,4.5
83,Japan,2005,4.2
84,Japan,2010,4.5
85,Japan,2015,3.0
86,Korea,1990,1.8
87,Korea,1995,1.7
88,Korea,2000,3.6
89,Korea,2005,3.4
90,Korea,2010,3.3
91,Korea,2015,3.5
92,Luxembourg,1990,2.5
93,Luxembourg,1995,4.4
94,Luxembourg,2000,3.1
95,Luxembourg,2005,5.8
96,Luxembourg,2010,5.1
97,Luxembourg,2015,7.3
98,Mexico,1995,8.6
99,Mexico,2000,3.3
100,Mexico,2005,3.9
101,Mexico,2010,5.2
102,Mexico,2015,4.5
103,Netherlands,1990,10.6
104,Netherlands,1995,8.7
105,Netherlands,2000,3.9
106,Netherlands,2005,6.9
107,Netherlands,2010,5.5
108,Netherlands,2015,7.3
109,New Zealand,1990,7.5
110,New Zealand,1995,6.5
111,New Zealand,2000,6.0
112,New Zealand,2005,4.1
113,New Zealand,2010,6.9
114,New Zealand,2015,5.9
115,Norway,1990,4.8
116,Norway,1995,4.6
117,Norway,2000,3.2
118,Norway,2005,4.2
119,Norway,2010,2.9
120,Norway,2015,4.0
121,Poland,1995,15.1
122,Poland,2000,18.4
123,Poland,2005,19.1
124,Poland,2010,10.0
125,Poland,2015,7.7
126,Portugal,1990,6.5
127,Portugal,1995,8.0
128,Portugal,2000,4.9
129,Portugal,2005,8.6
130,Portugal,2010,11.9
131,Portugal,2015,12.7
132,Slovak Republic,1995,13.8
133,Slovak Republic,2000,18.6
134,Slovak Republic,2005,17.2
135,Slovak Republic,2010,14.6
136,Slovak Republic,2015,12.9
137,Spain,1990,24.5
138,Spain,1995,30.8
139,Spain,2000,20.5
140,Spain,2005,12.0
141,Spain,2010,20.2
142,Spain,2015,23.5
143,Sweden,1990,1.8
144,Sweden,1995,8.2
145,Sweden,2000,5.4
146,Sweden,2005,7.5
147,Sweden,2010,8.5
148,Sweden,2015,7.2
149,Switzerland,1995,3.9
150,Switzerland,2000,3.1
151,Switzerland,2005,5.1
152,Switzerland,2010,5.2
153,Switzerland,2015,4.9
154,Turkey,1990,8.5
155,Turkey,1995,7.3
156,Turkey,2000,6.3
157,Turkey,2005,11.2
158,Turkey,2010,13.0
159,Turkey,2015,12.7
160,United Kingdom,1990,6.5
161,United Kingdom,1995,6.8
162,United Kingdom,2000,4.7
163,United Kingdom,2005,4.4
164,United Kingdom,2010,6.6
165,United Kingdom,2015,5.1
166,United States,1990,5.5
167,United States,1995,5.6
168,United States,2000,4.1
169,United States,2005,5.1
170,United States,2010,8.6
171,United States,2015,5.2
172,Brazil,2005,12.2
173,Chile,2000,12.5
174,Chile,2005,12.3
175,Chile,2010,9.6
