Country Name,"Series Name","Time","Value"
Afghanistan,"GDP per capita (current US$)","2019","494.179349886029"
Afghanistan,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","20.59"
Austria,"GDP per capita (current US$)","2019","50114.4011099728"
Austria,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","52.04"
"Bahamas, The","GDP per capita (current US$)","2019","33799.4176940891"
"Bahamas, The","Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","44.97"
Bahrain,"GDP per capita (current US$)","2019","23551.9300857404"
Bahrain,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","27.25"
Australia,"GDP per capita (current US$)","2019","54875.2859563351"
Australia,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","67.58"
Belarus,"GDP per capita (current US$)","2019","6837.71782606351"
Belarus,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","43.09"
Brazil,"GDP per capita (current US$)","2019","8897.55296585529"
Brazil,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","50.53"
Botswana,"GDP per capita (current US$)","2019","7203.06422122998"
Botswana,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","40.7"
Cameroon,"GDP per capita (current US$)","2019","1533.09568807789"
Cameroon,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","51.31"
Cayman Islands,"GDP per capita (current US$)","2019","91392.6425875166"
Cayman Islands,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019",".."
Chile,"GDP per capita (current US$)","2019","14741.7144039954"
Chile,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","29.34"
China,"GDP per capita (current US$)","2019","10143.8381719921"
China,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","42.4"
Cyprus,"GDP per capita (current US$)","2019","28288.4615757198"
Cyprus,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","40.16"
Denmark,"GDP per capita (current US$)","2019","59775.7350964515"
Denmark,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","61.64"
Cuba,"GDP per capita (current US$)","2019","9125.8786794952"
Cuba,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","28.07"
Finland,"GDP per capita (current US$)","2019","48678.3141318652"
Finland,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","53.93"
Fiji,"GDP per capita (current US$)","2019","6175.89065331713"
Fiji,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","25.57"
Dominican Republic,"GDP per capita (current US$)","2019","8282.11713050921"
Dominican Republic,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","35"
Ecuador,"GDP per capita (current US$)","2019","6222.52465327248"
Ecuador,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","35.2"
Germany,"GDP per capita (current US$)","2019","46794.8992915603"
Germany,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","48.57"
Greenland,"GDP per capita (current US$)","2019","53041.303310196"
Greenland,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019",".."
Gibraltar,"GDP per capita (current US$)","2019",".."
Gibraltar,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019",".."
Ghana,"GDP per capita (current US$)","2019","2246.62557816432"
Ghana,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","38.54"
Gabon,"GDP per capita (current US$)","2019","7766.99655422948"
Gabon,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","15.52"
Guatemala,"GDP per capita (current US$)","2019","4638.63494319511"
Guatemala,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","31.26"
Haiti,"GDP per capita (current US$)","2019","1312.77063606676"
Haiti,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","31.29"
Hungary,"GDP per capita (current US$)","2019","16735.6597794761"
Hungary,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","26.79"
Honduras,"GDP per capita (current US$)","2019","2556.45689068459"
Honduras,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","40.59"
Guinea,"GDP per capita (current US$)","2019","1058.14336817356"
Guinea,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","47.8"
Iceland,"GDP per capita (current US$)","2019","68941.4622272394"
Iceland,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","79.99"
India,"GDP per capita (current US$)","2019","2100.75146060805"
India,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","9.82"
Indonesia,"GDP per capita (current US$)","2019","4135.20153132694"
Indonesia,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","39.69"
Iraq,"GDP per capita (current US$)","2019","5980.6269179797"
Iraq,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","2019","4.87"
"Iran, Islamic Rep.","GDP per capita (current US$)","2019","3114.62275284063"
