,Country,GDP per Capita
0,Afghanistan,577.563057619788
1,Austria,46717.7207288551
2,"Bahamas, The",32798.1773271235
3,Bahrain,21199.0423231693
4,Australia,58923.2082117629
5,Belarus,6266.13085351488
6,Brazil,8638.29428665528
7,Botswana,7232.08756888586
8,Cameroon,1397.96491992995
9,Cayman Islands,83536.2933517156
10,Chile,13866.9558433589
11,China,10228.292811471
12,Cyprus,32517.2372758989
13,Denmark,57553.1312399488
14,Cuba,8026.80343590079
15,Finland,46172.567498465
16,Fiji,5869.01410878808
17,Dominican Republic,8314.34481886082
18,Ecuador,5853.81305991847
19,Germany,43311.6289811807
20,Greenland,..
21,Gibraltar,..
22,Ghana,1974.29466586464
23,Gabon,7118.08945622525
24,Guatemala,4254.03515942326
25,Haiti,1371.94238789242
26,Hungary,15042.3362152734
27,Honduras,2499.49282332241
28,Guinea,945.769348737232
29,Iceland,57818.8594639095
30,India,1972.75782082313
31,Indonesia,3877.38297656325
32,Iraq,4893.52473650407
33,"Iran, Islamic Rep.",4785.0278763552
34,Ireland,75112.8050295591
35,Israel,38152.7353182905
36,Jamaica,5065.37488938016
37,Italy,32043.907373456
38,Japan,36362.3573229906
39,Kenya,1513.43726562494
40,"Korea, Rep.",31610.9190042071
41,Libya,5971.84964599938
42,Lebanon,6824.89092144069
43,Liechtenstein,..
44,Luxembourg,104583.715895899
45,Madagascar,488.913856720504
46,Malaysia,11391.6917171556
47,Mali,815.454597312595
48,Malawi,402.543108697447
49,Malta,27489.4211986268
50,Mexico,9832.45747500622
51,Monaco,183244.610694364
52,Mongolia,4378.52787164517
53,Morocco,3407.78847905092
54,Myanmar,1362.72543858048
55,Nepal,1069.78909780076
56,Namibia,4521.14690531015
57,New Zealand,40315.47098301
58,Nigeria,2502.652281009
59,Niger,523.65877765968
60,North Macedonia,5334.23666266004
61,Norway,76085.2455169547
62,Pakistan,1487.35722186437
63,Poland,14987.4233971431
64,Paraguay,5774.16616003464
65,Philippines,3664.79066969794
66,Peru,6611.49276445785
67,Romania,11215.1588557962
68,Rwanda,885.599611645732
69,Portugal,21567.9359740802
70,Qatar,59149.339093965
71,Saudi Arabia,19801.8742165029
72,Singapore,61173.9047689256
73,Slovak Republic,18128.3358672655
74,Slovenia,24061.6038792705
75,Spain,28091.0123345952
76,Sudan,2018.40804058714
77,Sweden,53490.3518198746
78,Switzerland,88413.1917082485
79,Thailand,6617.54282167643
80,Togo,630.790509578349
81,Tonga,4652.5885871245
82,Trinidad and Tobago,16192.3234976859
83,Turkey,11956.1978210009
84,Uganda,898.407514758333
85,Ukraine,3224.55994946203
86,United Kingdom,46611.844332875
87,United Arab Emirates,39789.9668532093
88,United States,60836.7714535018
89,Uruguay,16036.2964025995
90,Uzbekistan,3013.55216272114
91,"Venezuela, RB",..
92,"Yemen, Rep.",..
93,Zambia,1348.74321969318
94,Zimbabwe,1367.67691490163
95,Vietnam,2604.22416586283
96,,
97,,
98,,
99,Data from database: World Development Indicators,
100,Last Updated: 12/16/2021,
