,Country,Labor force participation rate
0,Afghanistan,20.59
1,Austria,52.04
2,"Bahamas, The",44.97
3,Bahrain,27.25
4,Australia,67.58
5,Belarus,43.09
6,Brazil,50.53
7,Botswana,40.7
8,Cameroon,51.31
9,Cayman Islands,..
10,Chile,29.34
11,China,42.4
12,Cyprus,40.16
13,Denmark,61.64
14,Cuba,28.07
15,Finland,53.93
16,Fiji,25.57
17,Dominican Republic,35
18,Ecuador,35.2
19,Germany,48.57
20,Greenland,..
21,Gibraltar,..
22,Ghana,38.54
23,Gabon,15.52
24,Guatemala,31.26
25,Haiti,31.29
26,Hungary,26.79
27,Honduras,40.59
28,Guinea,47.8
29,Iceland,79.99
30,India,9.82
31,Indonesia,39.69
32,Iraq,4.87
33,"Iran, Islamic Rep.",12.21
34,Ireland,45.91
35,Israel,47.51
36,Jamaica,31.44
37,Italy,22.07
38,Japan,49.85
39,Kenya,41.25
40,"Korea, Rep.",30.09
41,Libya,10.12
42,Lebanon,17.44
43,Liechtenstein,..
44,Luxembourg,31.23
45,Madagascar,72.23
46,Malaysia,35.06
47,Mali,52.75
48,Malawi,59.67
49,Malta,53.64
50,Mexico,32.81
51,Monaco,..
52,Mongolia,28.81
53,Morocco,13.17
54,Myanmar,39.75
55,Nepal,78.41
56,Namibia,26.44
57,New Zealand,63.46
58,Nigeria,30.94
59,Niger,50.46
60,North Macedonia,25.56
61,Norway,55.84
62,Pakistan,18.17
63,Poland,31.58
64,Paraguay,47.18
65,Philippines,28.63
66,Peru,58.49
67,Romania,23.58
68,Rwanda,63.65
69,Portugal,32.93
70,Qatar,35.44
71,Saudi Arabia,8.25
72,Singapore,40.94
73,Slovak Republic,22.28
74,Slovenia,33.2
75,Spain,31.16
76,Sudan,18.44
77,Sweden,56.42
78,Switzerland,66.02
79,Thailand,33.22
80,Togo,27.65
81,Tonga,21.54
82,Trinidad and Tobago,31.58
83,Turkey,32.63
84,Uganda,49.34
85,Ukraine,27.91
86,United Kingdom,55.38
87,United Arab Emirates,33.89
88,United States,51.67
89,Uruguay,42.89
90,Uzbekistan,32.26
91,"Venezuela, RB",21.78
92,"Yemen, Rep.",4.55
93,Zambia,52.82
94,Zimbabwe,68.27
95,Vietnam,52.1
96,,
97,,
98,,
99,Data from database: World Development Indicators,
100,Last Updated: 12/16/2021,
