ref_area.label,indicator.label,source.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
United Kingdom,"Labour force participation rate by sex, age and marital status (%)",LFS - EU Labour Force Survey,Sex: Female,Age (10-year bands): Total,Marital status (aggregate): Total,1983,45.65,,,,Repository: ILO-STATISTICS - Micro data processing
United Kingdom,"Labour force participation rate by sex, age and marital status (%)",LFS - EU Labour Force Survey,Sex: Female,Age (10-year bands): Total,Marital status (aggregate): Single / Widowed / Divorced,1983,40.28,,,,Repository: ILO-STATISTICS - Micro data processing
United Kingdom,"Labour force participation rate by sex, age and marital status (%)",LFS - EU Labour Force Survey,Sex: Female,Age (10-year bands): Total,Marital status (aggregate): Married / Union / Cohabiting,1983,48.99,,,,Repository: ILO-STATISTICS - Micro data processing
United Kingdom,"Labour force participation rate by sex, age and marital status (%)",LFS - EU Labour Force Survey,Sex: Female,Age (10-year bands): Total,Marital status (aggregate): Total,1984,47.15,,,,Repository: ILO-STATISTICS - Micro data processing
United Kingdom,"Labour force participation rate by sex, age and marital status (%)",LFS - EU Labour Force Survey,Sex: Female,Age (10-year bands): Total,Marital status (aggregate): Single / Widowed / Divorced,1984,40.95,,,,Repository: ILO-STATISTICS - Micro data processing
United Kingdom,"Labour force participation rate by sex, age and marital status (%)",LFS - EU Labour Force Survey,Sex: Female,Age (10-year bands): Total,Marital status (aggregate): Married / Union / Cohabiting,1984,50.96,,,,Repository: ILO-STATISTICS - Micro data processing
United Kingdom,"Labour force participation rate by sex, age and marital status (%)",LFS - EU Labour Force Survey,Sex: Female,Age (10-year bands): Total,Marital status (aggregate): Total,1985,48.7,,,,Repository: ILO-STATISTICS - Micro data processing
United Kingdom,"Labour force participation rate by sex, age and marital status (%)",LFS - EU Labour Force Survey,Sex: Female,Age (10-year bands): Total,Marital status (aggregate): Single / Widowed / Divorced,1985,42.38,,,,Repository: ILO-STATISTICS - Micro data processing
United Kingdom,"Labour force participation rate by sex, age and marital status (%)",LFS - EU Labour Force Survey,Sex: Female,Age (10-year bands): Total,Marital status (aggregate): Married / Union / Cohabiting,1985,52.57,,,,Repository: ILO-STATISTICS - Micro data processing
United Kingdom,"Labour force participation rate by sex, age and marital status (%)",LFS - EU Labour Force Survey,Sex: Female,Age (10-year bands): Total,Marital status (aggregate): Total,1986,49.16,,,,Repository: ILO-STATISTICS - Micro data processing
United Kingdom,"Labour force participation rate by sex, age and marital status (%)",LFS - EU Labour Force Survey,Sex: Female,Age (10-year bands): Total,Marital status (aggregate): Single / Widowed / Divorced,1986,42.15,,,,Repository: ILO-STATISTICS - Micro data processing
