Country Name,"Country Code","Series","Series Code","Time","Time Code","Value"
European Union,"EUU","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","2018","YR2018",".."
OECD members,"OED","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","2018","YR2018",".."
Slovenia,"SVN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","2018","YR2018","37450"
Slovak Republic,"SVK","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","2018","YR2018","33060"
Romania,"ROU","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","2018","YR2018","27520"
Malta,"MLT","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","2018","YR2018","39230"
Lithuania,"LTU","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","2018","YR2018","34320"
Latvia,"LVA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","2018","YR2018","29780"
Israel,"ISR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","2018","YR2018","39940"
Ireland,"IRL","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","2018","YR2018","67050"
Italy,"ITA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","2018","YR2018","42290"
Japan,"JPN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","2018","YR2018","44380"
Iceland,"ISL","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","2018","YR2018","55190"
Hungary,"HUN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","2018","YR2018","29860"
Finland,"FIN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","2018","YR2018","48580"
France,"FRA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","2018","YR2018","46360"
Estonia,"EST","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","2018","YR2018","34970"
Cyprus,"CYP","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","2018","YR2018","39880"
Croatia,"HRV","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","2018","YR2018","27180"
Costa Rica,"CRI","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","2018","YR2018","16700"
Colombia,"COL","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","2018","YR2018","14480"
Bulgaria,"BGR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","2018","YR2018","22300"
Australia,"AUS","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","2018","YR2018","50050"
Austria,"AUT","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","2018","YR2018","55300"
Belgium,"BEL","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","2018","YR2018","51740"
Canada,"CAN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","2018","YR2018","47590"
Czech Republic,"CZE","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","2018","YR2018","37530"
Denmark,"DNK","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","2018","YR2018","56410"
Germany,"DEU","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","2018","YR2018","54560"
Greece,"GRC","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","2018","YR2018","29670"
"Korea, Rep.","KOR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","2018","YR2018","40090"
Luxembourg,"LUX","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","2018","YR2018","72200"
Mexico,"MEX","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","2018","YR2018","19340"
Netherlands,"NLD","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","2018","YR2018","56890"
New Zealand,"NZL","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","2018","YR2018","39410"
Norway,"NOR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","2018","YR2018","68310"
Poland,"POL","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","2018","YR2018","30010"
Spain,"ESP","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","2018","YR2018","39800"
Sweden,"SWE","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","2018","YR2018","54030"
Switzerland,"CHE","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","2018","YR2018","68820"
Turkey,"TUR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","2018","YR2018","27640"
United Kingdom,"GBR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","2018","YR2018","45350"
United States,"USA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","2018","YR2018","63690"
Ukraine,"UKR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","2018","YR2018","9030"
,"","","","","",""
,"","","","","",""
,"","","","","",""
Data from database: Education Statistics - All Indicators,"","","","","",""
Last Updated: 12/20/2020,"","","","","",""
