,Country,Country Code,GNI per Capita
0,European Union,EUU,..
1,OECD members,OED,..
2,Slovenia,SVN,37450
3,Slovak Republic,SVK,33060
4,Romania,ROU,27520
5,Malta,MLT,39230
6,Lithuania,LTU,34320
7,Latvia,LVA,29780
8,Israel,ISR,39940
9,Ireland,IRL,67050
10,Italy,ITA,42290
11,Japan,JPN,44380
12,Iceland,ISL,55190
13,Hungary,HUN,29860
14,Finland,FIN,48580
15,France,FRA,46360
16,Estonia,EST,34970
17,Cyprus,CYP,39880
18,Croatia,HRV,27180
19,Costa Rica,CRI,16700
20,Colombia,COL,14480
21,Bulgaria,BGR,22300
22,Australia,AUS,50050
23,Austria,AUT,55300
24,Belgium,BEL,51740
25,Canada,CAN,47590
26,Czech Republic,CZE,37530
27,Denmark,DNK,56410
28,Germany,DEU,54560
29,Greece,GRC,29670
30,"Korea, Rep.",KOR,40090
31,Luxembourg,LUX,72200
32,Mexico,MEX,19340
33,Netherlands,NLD,56890
34,New Zealand,NZL,39410
35,Norway,NOR,68310
36,Poland,POL,30010
37,Spain,ESP,39800
38,Sweden,SWE,54030
39,Switzerland,CHE,68820
40,Turkey,TUR,27640
41,United Kingdom,GBR,45350
42,United States,USA,63690
43,Ukraine,UKR,9030
44,,,
45,,,
46,,,
47,Data from database: Education Statistics - All Indicators,,
48,Last Updated: 12/20/2020,,
