,date,value
0,2020,
1,2019,43.6343552927191
2,2018,43.7188299279786
3,2017,43.7997292462391
4,2016,43.8687870810856
5,2015,43.9206950694526
6,2014,43.9577737000049
7,2013,43.9784050308975
8,2012,44.0030275055501
9,2011,44.0388557575396
10,2010,44.079056138679
11,2009,44.1980701221571
12,2008,44.3052600421357
13,2007,44.4166186385106
14,2006,44.5234908680654
15,2005,44.634333098471
16,2004,44.7454642473624
17,2003,44.8392401162624
18,2002,44.9247113703791
19,2001,45.0055046243445
20,2000,45.092067083728
21,1999,45.0820879980586
22,1998,45.0795612168737
23,1997,45.0849582700757
24,1996,45.0903355665338
25,1995,45.101462213155
26,1994,45.1160907540965
27,1993,45.1339545204905
28,1992,45.1506647364604
29,1991,45.1695160271608
30,1990,45.174142455267
31,1989,
32,1988,
33,1987,
34,1986,
35,1985,
36,1984,
37,1983,
38,1982,
39,1981,
40,1980,
41,1979,
42,1978,
43,1977,
44,1976,
45,1975,
46,1974,
47,1973,
48,1972,
49,1971,
