,date,value
1,2019,47.041817331391
2,2018,46.8089320622956
3,2017,46.7615218107371
4,2016,46.5359043735457
5,2015,46.4571476271491
6,2014,46.4106377144981
7,2013,46.2732569796015
8,2012,46.1234852803898
9,2011,46.115971086974
10,2010,46.0275544210646
11,2009,45.9552272801121
12,2008,45.683853930306
13,2007,45.6479186804015
14,2006,45.7303545381858
15,2005,45.675598597973
16,2004,45.650543115555
17,2003,45.4040311255036
18,2002,45.5959567422381
19,2001,45.3534145677072
20,2000,45.2197693515352
21,1999,45.1057461442652
22,1998,44.9194441688325
23,1997,44.8157702356712
24,1996,44.5806277990741
25,1995,44.294669325285
26,1994,44.1999050309855
27,1993,44.0693178076977
28,1992,43.6402848039338
29,1991,43.3159904507703
30,1990,43.1893330428857
