,date,value
1,2019,7.88105574354659
2,2018,7.89530031270493
3,2017,7.91395382741138
4,2016,7.98555964968537
5,2015,8.06938770984221
6,2014,8.24040322940363
7,2013,9.20539160921733
8,2012,10.2615305428952
9,2011,11.4436776005862
10,2010,12.7413899427022
11,2009,13.5603277906434
12,2008,14.4032585800665
13,2007,15.2616023205784
14,2006,16.1654157811832
15,2005,17.1093899767069
16,2004,18.0714267603191
17,2003,19.0692713570263
18,2002,20.0997279464414
19,2001,21.1377165474285
20,2000,22.2002476603535
21,1999,23.2490463017126
22,1998,22.2304432653533
23,1997,21.2376416210578
24,1996,20.2968561785342
25,1995,19.4355673889963
26,1994,18.7803990703575
27,1993,18.9499434133054
28,1992,19.3296272912162
29,1991,19.6118410400251
30,1990,19.9724768532434
