"Figure 6: Young adults aged 15 to 34 living with their parents, 1996 to 2015",""
"UK",""
"",""
"Notes","1. Once a person either lives with a partner or has a child, they are considered to have formed their own family and are no longer counted as being part of their parents’ family even if they still live in the same household. Therefore such people are deemed to be not living with their parents here.
2. The term ""Parent"" could include grandparents, step-parents or foster parents.
3. Students living in halls of residence during term-time and living with their parents outside term-time are counted as not living with their parents here."
"Unit","Million"
"",""
"Year","Young adults living with their parents"
"1996","5.8"
"1997","5.6"
"1998","5.5"
"1999","5.5"
"2000","5.6"
"2001","5.6"
"2002","5.7"
"2003","5.8"
"2004","5.9"
"2005","6.0"
"2006","6.1"
"2007","6.1"
"2008","6.1"
"2009","6.3"
"2010","6.3"
"2011","6.4"
"2012","6.6"
"2013","6.7"
"2014","6.7"
"2015","6.6"
