ref_area,indicator,source,sex,classif1,classif2,time,obs_value,obs_status,note_classif,note_indicator,note_source
AFG,EAP_DWAP_SEX_AGE_MTS_RT,BB:6361,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_TOTAL,2012,16.01,,,,R1:3513
AFG,EAP_DWAP_SEX_AGE_MTS_RT,BB:6361,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_SGLE,2012,15.32,,,,R1:3513
AFG,EAP_DWAP_SEX_AGE_MTS_RT,BB:6361,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_MRD,2012,16.72,,,,R1:3513
AFG,EAP_DWAP_SEX_AGE_MTS_RT,BB:6361,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_WID,2012,11.38,,,,R1:3513
AFG,EAP_DWAP_SEX_AGE_MTS_RT,BB:6361,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_SEP,2012,11.43,U,,,R1:3513
AFG,EAP_DWAP_SEX_AGE_MTS_RT,BB:6361,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_TOTAL,2014,25.78,,,,R1:3513
AFG,EAP_DWAP_SEX_AGE_MTS_RT,BB:6361,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_SGLE,2014,32.67,,,,R1:3513
AFG,EAP_DWAP_SEX_AGE_MTS_RT,BB:6361,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_MRD,2014,24.52,,,,R1:3513
AFG,EAP_DWAP_SEX_AGE_MTS_RT,BB:6361,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_WID,2014,13.77,,,,R1:3513
AFG,EAP_DWAP_SEX_AGE_MTS_RT,BB:6361,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_SEP,2014,24.75,,,,R1:3513
AFG,EAP_DWAP_SEX_AGE_MTS_RT,BB:6361,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_X,2014,32.83,,,,R1:3513
AFG,EAP_DWAP_SEX_AGE_MTS_RT,BB:6361,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_TOTAL,2017,21.17,,,,R1:3513
AFG,EAP_DWAP_SEX_AGE_MTS_RT,BB:6361,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_SGLE,2017,19.27,,,,R1:3513
AFG,EAP_DWAP_SEX_AGE_MTS_RT,BB:6361,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_MRD,2017,22.31,,,,R1:3513
AFG,EAP_DWAP_SEX_AGE_MTS_RT,BB:6361,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_UNION,2017,26.47,,,,R1:3513
AFG,EAP_DWAP_SEX_AGE_MTS_RT,BB:6361,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_WID,2017,13.24,,,,R1:3513
AFG,EAP_DWAP_SEX_AGE_MTS_RT,BB:6361,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_SEP,2017,22.82,,,,R1:3513
AFG,EAP_DWAP_SEX_AGE_MTS_RT,BA:15715,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_TOTAL,2020,16.5,,,,R1:3513
AFG,EAP_DWAP_SEX_AGE_MTS_RT,BA:15715,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_SGLE,2020,9.21,,,,R1:3513
AFG,EAP_DWAP_SEX_AGE_MTS_RT,BA:15715,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_MRD,2020,17.58,,,,R1:3513
AFG,EAP_DWAP_SEX_AGE_MTS_RT,BA:15715,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_UNION,2020,11.56,,,,R1:3513
AFG,EAP_DWAP_SEX_AGE_MTS_RT,BA:15715,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_WID,2020,15.74,,,,R1:3513
AFG,EAP_DWAP_SEX_AGE_MTS_RT,BA:15715,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_SEP,2020,22.51,,,,R1:3513
AFG,EAP_DWAP_SEX_AGE_MTS_RT,BA:15715,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_X,2020,15.27,,,,R1:3513
AGO,EAP_DWAP_SEX_AGE_MTS_RT,BB:13366,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_TOTAL,2009,60.92,,,,R1:3513
AGO,EAP_DWAP_SEX_AGE_MTS_RT,BB:13366,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_SGLE,2009,38.84,,,,R1:3513
AGO,EAP_DWAP_SEX_AGE_MTS_RT,BB:13366,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_MRD,2009,71.19,,,,R1:3513
AGO,EAP_DWAP_SEX_AGE_MTS_RT,BB:13366,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_UNION,2009,66.93,,,,R1:3513
AGO,EAP_DWAP_SEX_AGE_MTS_RT,BB:13366,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_WID,2009,72.73,,,,R1:3513
AGO,EAP_DWAP_SEX_AGE_MTS_RT,BB:13366,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_SEP,2009,79.29,,,,R1:3513
AGO,EAP_DWAP_SEX_AGE_MTS_RT,AA:835,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_TOTAL,2014,37.02,,,,R1:3513
