ref_area.label,indicator.label,source.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Afghanistan,"Labour force participation rate by sex, age and marital status (%)",HIES - Living Conditions Survey,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Total,2012,16.01,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Labour force participation rate by sex, age and marital status (%)",HIES - Living Conditions Survey,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Single,2012,15.32,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Labour force participation rate by sex, age and marital status (%)",HIES - Living Conditions Survey,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Married,2012,16.72,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Labour force participation rate by sex, age and marital status (%)",HIES - Living Conditions Survey,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Widowed,2012,11.38,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Labour force participation rate by sex, age and marital status (%)",HIES - Living Conditions Survey,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Divorced or legally separated,2012,11.43,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Labour force participation rate by sex, age and marital status (%)",HIES - Living Conditions Survey,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Total,2014,25.78,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Labour force participation rate by sex, age and marital status (%)",HIES - Living Conditions Survey,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Single,2014,32.67,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Labour force participation rate by sex, age and marital status (%)",HIES - Living Conditions Survey,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Married,2014,24.52,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Labour force participation rate by sex, age and marital status (%)",HIES - Living Conditions Survey,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Widowed,2014,13.77,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Labour force participation rate by sex, age and marital status (%)",HIES - Living Conditions Survey,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Divorced or legally separated,2014,24.75,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Labour force participation rate by sex, age and marital status (%)",HIES - Living Conditions Survey,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Not elsewhere classified,2014,32.83,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Labour force participation rate by sex, age and marital status (%)",HIES - Living Conditions Survey,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Total,2017,21.17,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Labour force participation rate by sex, age and marital status (%)",HIES - Living Conditions Survey,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Single,2017,19.27,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Labour force participation rate by sex, age and marital status (%)",HIES - Living Conditions Survey,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Married,2017,22.31,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Labour force participation rate by sex, age and marital status (%)",HIES - Living Conditions Survey,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Union / Cohabiting,2017,26.47,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Labour force participation rate by sex, age and marital status (%)",HIES - Living Conditions Survey,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Widowed,2017,13.24,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Labour force participation rate by sex, age and marital status (%)",HIES - Living Conditions Survey,Sex: Female,Age (10-year bands): Total,Marital status (detailed): Divorced or legally separated,2017,22.82,,,,Repository: ILO-STATISTICS - Micro data processing
